outcome,label,term,odds_ratio,ci_low,ci_high,p_value,n
vape_current,Vaping (30d),csa_exposure,2.89,2.42,3.45,2.7298519748850514e-31,10152
vape_current,Vaping (30d),household_adversity_score,1.62,1.47,1.79,1.1767274527508478e-21,10152
alcohol_current,Alcohol (30d),csa_exposure,2.26,1.9,2.7,6.950544370278472e-20,10426
alcohol_current,Alcohol (30d),household_adversity_score,1.29,1.2,1.39,2.757221659887564e-11,10426
binge_drinking_current,Binge drinking (30d),csa_exposure,2.84,2.34,3.45,5.418577584816866e-26,10109
binge_drinking_current,Binge drinking (30d),household_adversity_score,1.23,1.09,1.39,0.0006978644778529846,10109
marijuana_current,Marijuana (30d),csa_exposure,2.31,1.93,2.78,4.362637189493025e-19,10489
marijuana_current,Marijuana (30d),household_adversity_score,1.62,1.44,1.81,1.1275306100541745e-16,10489
cig_current,Cigarettes (30d),csa_exposure,2.67,1.82,3.91,4.881286017312048e-07,10533
cig_current,Cigarettes (30d),household_adversity_score,1.74,1.47,2.06,1.525740801072668e-10,10533
rx_pain_misuse_ever,Rx pain-med misuse (ever),csa_exposure,2.19,1.75,2.73,4.9815266572175274e-12,10502
rx_pain_misuse_ever,Rx pain-med misuse (ever),household_adversity_score,1.52,1.37,1.69,3.7629517534194594e-15,10502
any_illicit_ever,Any illicit drug (ever),csa_exposure,3.19,2.5,4.06,7.957327455182269e-21,10006
any_illicit_ever,Any illicit drug (ever),household_adversity_score,1.64,1.48,1.83,2.2129139187553394e-20,10006
low_school_connectedness,Low school connectedness,csa_exposure,1.42,1.24,1.62,3.19975876703402e-07,10490
low_school_connectedness,Low school connectedness,household_adversity_score,1.27,1.17,1.38,1.6286951908497936e-08,10490
